jobId,date,timestamp,baseline_mode,room_type,processing_mode,retry_attempt,final_outcome,opening_count_baseline,opening_count_candidate,opening_resize_pct,opening_visibility_reduction_pct,opening_relocation_pct_proxy,opening_issue_types,opening_hardFail,opening_pass,unified_score,unified_verdict,unified_hardFail,source_file
job_23d2abae-a3c8-4a11-ada4-f76811535c5a,2026-03-02,2026-03-02T03:07:23.544676032Z,unknown,unknown,refresh,2,failed,,,,,,,,,0.727,fail,,logs.1772421248483.log
job_f7bf142a-b2ba-41d1-af58-e4dbc9041db0,2026-03-02,2026-03-02T21:09:10.101886737Z,unknown,unknown,refresh,3,failed,,,,,,,,,0.49,fail,,logs.1772486035684.log
job_245c8e02-759a-4282-bd50-595338882c68,2026-03-02,2026-03-02T22:52:40.295238370Z,unknown,unknown,unknown,0,failed,,,,,,opening_removed,,,0.454,fail,,logs.1772492374884.log
job_9d5719b9-031e-4e58-89e5-a2db0b0e4dc1,2026-03-02,2026-03-02T22:52:41.736785251Z,unknown,unknown,refresh,0,failed,,,,,,,,,0.633,fail,,logs.1772492374884.log
job_84c8dc0d-efd3-4f7c-8494-0652fceacb13,2026-03-03,2026-03-03T04:20:16.553065220Z,unknown,unknown,refresh,0,unknown,,,,,,opening_removed,,,0.471,fail,,logs.1772524083275.log
job_68201aaa-4946-4aa5-becd-ef0a78741b14,2026-03-03,2026-03-03T08:13:38.464422504Z,unknown,unknown,refresh,0,failed,,,,,,opening_removed,,,0.702,fail,,logs.1772525977906.log
job_5ed3491c-9f18-4083-a1eb-543eb3c28ff8,2026-03-03,2026-03-03T09:40:52.117600085Z,unknown,unknown,refresh,3,failed,,,,,,opening_removed,,,0.539,fail,,logs.1772531124773.log
job_dd20aa2d-25c8-4135-baf6-cf45d1ca8785,2026-03-03,2026-03-03T09:40:55.763882667Z,unknown,unknown,refresh,3,failed,,,,,,opening_removed,,,0.526,fail,,logs.1772531124773.log
job_c8ec53c4-dece-47f1-be28-107f385eef4f,2026-03-03,2026-03-03T11:13:57.832986353Z,unknown,unknown,refresh,0,failed,,,,,,,,,0.652,fail,,logs.1772536741636.log
job_a786b599-ec1c-4b96-a029-b12083bff084,2026-03-03,2026-03-03T11:13:59.239340231Z,unknown,unknown,unknown,1,failed,,,,,,opening_removed,,,0.462,fail,,logs.1772536741636.log
