jobId,date,timestamp,baseline_mode,room_type,processing_mode,retry_attempt,final_outcome,opening_count_baseline,opening_count_candidate,opening_resize_pct,opening_visibility_reduction_pct,opening_relocation_pct_proxy,opening_issue_types,opening_hardFail,opening_pass,unified_score,unified_verdict,unified_hardFail,source_file
job_6b27679b-6936-4891-8cf8-340d0944f953,2026-03-28,2026-03-28T10:45:17.209823542Z,unknown,bedroom,from_empty_or_initial,0,complete,,,26.8,,,opening_occlusion|opening_resized|opening_resized_major|opening_resized_minor,,,0.634,pass,,logs.1774695650686.log
job_e0928fcd-9bba-437f-967a-5c9a919fc08e,2026-02-27,2026-02-27T11:44:34.848773794Z,unknown,bedroom,refresh,0,complete,,,,,,,,,0.525,pass,,logs.1772194742327.log
job_d3687e00-2f17-4fa5-9378-0e7d4a9acb36,2026-03-11,2026-03-11T11:36:25.025928628Z,unknown,bedroom,retry_stage2_only,0,complete,,,,,,,,,0.819,pass,,logs.1773229125854.log
job_78d9a351-fbd2-4455-882e-bc715423d340,2026-02-28,2026-02-28T08:07:20.024740585Z,unknown,bedroom,unknown,0,complete,,,,,,,,,0.659,pass,,logs.1772270789932.log
job_09189911-a38d-4a83-bd51-0b529410bb86,2026-03-08,2026-03-08T11:06:00.000505780Z,unknown,dining_room,refresh,0,complete,,,,,,,,,0.914,pass,,logs.1772968227925.log
job_73405780-c36f-463e-9d87-3d798751270f,2026-04-15,2026-04-15T01:36:16.344678905Z,unknown,kitchen,from_empty_or_initial,0,complete,,,,,,opening_resized|opening_resized_minor,,,0.793,pass,,logs.1776222829559.log
job_01d50143-c7bd-4c1b-9a51-810be0591fa6,2026-04-08,2026-04-08T12:28:47.283045668Z,unknown,kitchen,refresh,0,complete,,,92.5,,,opening_relocated|opening_resized,,,0.843,pass,,logs.1775654660135.log
job_0ca98979-e123-4fe4-9977-2d3317828b40,2026-04-29,2026-04-29T20:51:40.515058979Z,unknown,kitchen_dining,from_empty_or_initial,0,complete,,,26.3,,,opening_relocated|opening_resized|opening_resized_minor,,,0.805,pass,,logs.1777496254825.log
job_1b4f4ca8-b08d-4dbc-905a-0cd390cd0fbe,2026-03-25,2026-03-25T05:05:09.579633541Z,unknown,kitchen_dining,refresh,1,complete,,,,,,,,,0.853,pass,,logs.1774415998089.log
job_c0c6890b-de60-4195-84e8-a4df8a41e821,2026-04-12,2026-04-12T12:48:35.353553983Z,unknown,kitchen_living,from_empty_or_initial,0,complete,,,66.5,,,opening_relocated|opening_removed|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1775999047987.log
job_13b4eda1-6f02-4474-b455-82559cc99231,2026-05-08,2026-05-08T01:27:16.072755136Z,unknown,living_dining,from_empty_or_initial,1,complete,,,,,,opening_relocated|opening_removed|opening_resized,,,0.808,pass,,logs.1778204941425.log
job_f16a8680-a200-49f0-9a80-ee13dbdb0572,2026-03-05,2026-03-05T06:46:32.776520730Z,unknown,living_dining,refresh,1,complete,,,,,,,,,0.939,pass,,logs.1772694399388.log
job_5f1fc3fb-fa9d-432c-a8f6-6bb0f300280b,2026-04-08,2026-04-08T12:28:42.674124432Z,unknown,living_room,from_empty_or_initial,0,complete,,,,,,opening_occlusion|opening_relocated|opening_removed|opening_resized,,,0.762,pass,,logs.1775654660135.log
job_24b02873-e94a-45a5-b3a5-ec6d9c137203,2026-03-03,2026-03-03T23:10:42.637509570Z,unknown,living_room,refresh,1,complete,,,,,,,,,0.7,pass,,logs.1772579704927.log
job_1d9b0847-a1b8-4062-908d-68bbc843503b,2026-03-24,2026-03-24T10:58:00.844109731Z,unknown,living_room,retry_stage2_only,1,complete,,,,,,,,,0.554,pass,,logs.1774350748550.log
job_a64c5f16-852f-4276-9e99-16a738b6b92e,2026-03-05,2026-03-05T06:46:33.748669447Z,unknown,living_room,unknown,0,complete,,,,,,opening_removed,,,0.913,pass,,logs.1772694399388.log
job_e9128e0f-28b2-4090-91d7-3b014339f21c,2026-03-29,2026-03-29T04:33:18.217777839Z,unknown,unknown,from_empty_or_initial,1,unknown,,,45.9,,,opening_occlusion|opening_relocated|opening_resized|opening_resized_major|opening_resized_minor,,,0.627,pass,,logs.1774779505038.log
job_965c172a-1182-43cb-8627-14094c56fa5a,2026-02-27,2026-02-27T11:55:07.426747879Z,unknown,unknown,refresh,0,complete,,,,,,,,,0.672,pass,,logs.1772194742327.log
job_92251149-0498-4b6c-851c-6352d34ef837,2026-03-30,2026-03-30T12:24:32.078859000Z,unknown,unknown,retry_stage2_only,1,unknown,,,,,,opening_relocated|opening_resized,,,0.807,pass,,logs.1774874142876.log
job_95f37c9c-fb6b-4825-929e-55ca8753dd30,2026-02-27,2026-02-27T11:54:59.344760068Z,unknown,unknown,unknown,0,complete,,,,,,,,,0.711,pass,,logs.1772194742327.log
