jobId,imageId,enhancedImageId,originalUploadUrl,summaryFinalStatus,stage,attempt,attemptUrl,result,reasonText,confidence,explicitValidatorScores
job_86667215-f492-4467-913e-0cba26ed19f1,img_dabe5abe-e23f-4538-a207-d69939f64647,RE-AK3JJY,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744801-realenhance-job_86667215-f492-4467-913e-0cba26ed19f1-1772069744562-lq1yvzg694.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.552;PASS:0.56
job_86667215-f492-4467-913e-0cba26ed19f1,img_dabe5abe-e23f-4538-a207-d69939f64647,RE-AK3JJY,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744801-realenhance-job_86667215-f492-4467-913e-0cba26ed19f1-1772069744562-lq1yvzg694.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069771345-realenhance-job_86667215-f492-4467-913e-0cba26ed19f1-1772069744562-lq1yvzg694-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T013612Z&X-Amz-Expires=86400&X-Amz-Signature=1d3cfa34fee81641d4b54b2e4ea8b69f56a2b87c7f75aa71861318239e75f50e&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,FAIL:0.552;PASS:0.56
job_86667215-f492-4467-913e-0cba26ed19f1,img_dabe5abe-e23f-4538-a207-d69939f64647,RE-AK3JJY,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744801-realenhance-job_86667215-f492-4467-913e-0cba26ed19f1-1772069744562-lq1yvzg694.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069769226-realenhance-job_05ae10fe-eef3-4c25-9499-9847c3e9edd4-1772069742053-1k0k2z21p0a-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T013610Z&X-Amz-Expires=86400&X-Amz-Signature=7f1fb29907ccfbef83be2f8feae527b46a3cab07a4e3fa2d02fc1f745b901517&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,FAIL:0.552;PASS:0.56
job_05ae10fe-eef3-4c25-9499-9847c3e9edd4,unknown,RE-Z9XGQB,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742721-realenhance-job_05ae10fe-eef3-4c25-9499-9847c3e9edd4-1772069742053-1k0k2z21p0a.jpg,unknown,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.684;PASS:0.684
job_05ae10fe-eef3-4c25-9499-9847c3e9edd4,unknown,RE-Z9XGQB,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742721-realenhance-job_05ae10fe-eef3-4c25-9499-9847c3e9edd4-1772069742053-1k0k2z21p0a.jpg,unknown,stage2,unknown,unknown,unknown,unknown,unknown,PASS:0.684;PASS:0.684
job_3608e47b-5298-4a29-bacc-84465c143cbb,img_17761098-06a6-47a1-8c7a-8bdcf6afe613,RE-HQRZKK,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742459-realenhance-job_3608e47b-5298-4a29-bacc-84465c143cbb-1772069741686-dk5mscdor9i.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.663;PASS:0.663
job_3608e47b-5298-4a29-bacc-84465c143cbb,img_17761098-06a6-47a1-8c7a-8bdcf6afe613,RE-HQRZKK,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742459-realenhance-job_3608e47b-5298-4a29-bacc-84465c143cbb-1772069741686-dk5mscdor9i.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069819475-realenhance-job_e04e3350-453a-4606-8187-2a2f6263a4bd-1772069742726-4wk7fo4je3k-canonical-1A-2.webp,PASSED,other,1.0,PASS:0.663;PASS:0.663
job_e04e3350-453a-4606-8187-2a2f6263a4bd,img_e2fb25fd-a810-4afe-b7e8-5124bf27d7bc,RE-AGWE3Y,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069743500-realenhance-job_e04e3350-453a-4606-8187-2a2f6263a4bd-1772069742726-4wk7fo4je3k.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.639;PASS:0.639
job_e04e3350-453a-4606-8187-2a2f6263a4bd,img_e2fb25fd-a810-4afe-b7e8-5124bf27d7bc,RE-AGWE3Y,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069743500-realenhance-job_e04e3350-453a-4606-8187-2a2f6263a4bd-1772069742726-4wk7fo4je3k.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069821088-realenhance-job_a9680740-4692-461a-80e9-2c9860f14c97-1772069745767-8unvud9apxf-canonical-1A-2.webp,PASSED,other,1.0,PASS:0.639;PASS:0.639
job_e04e3350-453a-4606-8187-2a2f6263a4bd,img_e2fb25fd-a810-4afe-b7e8-5124bf27d7bc,RE-AGWE3Y,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069743500-realenhance-job_e04e3350-453a-4606-8187-2a2f6263a4bd-1772069742726-4wk7fo4je3k.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069772471-realenhance-job_ca5862cc-ec89-4ca6-af7d-bc973927d991-1772069743771-jdjvqpflzc-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T013613Z&X-Amz-Expires=86400&X-Amz-Signature=bdf1e823ac0300f191d13081235e09a9a3a6d8d5656925031329a14b74da29dd&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,PASS:0.639;PASS:0.639
