jobId,imageId,enhancedImageId,finalStatus,charged,stage1A_status,stage1A_retries,stage1A_failReason,stage1B_triggered,stage1B_status,stage1B_retries,stage1B_failReason,stage2_status,stage2_retries,stage2_failReason,originalUploadUrl,outputUrlCount,validatorEvents,totalAttempts,parentJobId,freeRetryUsed
job_86667215-f492-4467-913e-0cba26ed19f1,img_dabe5abe-e23f-4538-a207-d69939f64647,RE-AK3JJY,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744801-realenhance-job_86667215-f492-4467-913e-0cba26ed19f1-1772069744562-lq1yvzg694.jpg,4,,unknown,none,False
job_05ae10fe-eef3-4c25-9499-9847c3e9edd4,unknown,RE-Z9XGQB,completed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742721-realenhance-job_05ae10fe-eef3-4c25-9499-9847c3e9edd4-1772069742053-1k0k2z21p0a.jpg,1,,unknown,unknown,unknown
job_3608e47b-5298-4a29-bacc-84465c143cbb,img_17761098-06a6-47a1-8c7a-8bdcf6afe613,RE-HQRZKK,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069742459-realenhance-job_3608e47b-5298-4a29-bacc-84465c143cbb-1772069741686-dk5mscdor9i.jpg,2,,unknown,none,False
job_e04e3350-453a-4606-8187-2a2f6263a4bd,img_e2fb25fd-a810-4afe-b7e8-5124bf27d7bc,RE-AGWE3Y,completed,unknown,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069743500-realenhance-job_e04e3350-453a-4606-8187-2a2f6263a4bd-1772069742726-4wk7fo4je3k.jpg,2,,unknown,none,False
job_ca5862cc-ec89-4ca6-af7d-bc973927d991,img_b91f4e23-72b1-4148-be16-45d134bf2ce0,RE-42KXLK,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744595-realenhance-job_ca5862cc-ec89-4ca6-af7d-bc973927d991-1772069743771-jdjvqpflzc.jpg,2,,unknown,none,False
job_a9680740-4692-461a-80e9-2c9860f14c97,img_3b48ac64-e3f1-49b4-a33d-cd5b9d29779b,RE-MEE8VF,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746072-realenhance-job_a9680740-4692-461a-80e9-2c9860f14c97-1772069745767-8unvud9apxf.jpg,1,,unknown,unknown,False
job_f92a6554-ed04-489b-8e15-736dc67d5d6d,img_9269f490-9130-427b-bf35-7e824e43c191,RE-HHKDHB,completed,unknown,success,unknown,,unknown,unknown,unknown,unknown,unknown,0,unknown,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746992-realenhance-job_f92a6554-ed04-489b-8e15-736dc67d5d6d-1772069746865-37ff1uiw6o3.jpg,2,,unknown,unknown,False
job_1c552cd3-1089-415f-988e-cdd38750cdb7,img_e97e5d2c-7f58-47e7-a269-94b055574126,RE-U577XT,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069748119-realenhance-job_1c552cd3-1089-415f-988e-cdd38750cdb7-1772069747983-m3vzj7n2ie.jpg,2,,unknown,none,False
job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f,img_6924482b-ccfa-4c31-8129-223c97e82a87,RE-H8UKV8,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069749132-realenhance-job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f-1772069748990-c60xngsbb3.jpg,2,,unknown,none,False
job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe,img_89957ed8-a5fc-45f2-a76f-fe7762e14d91,RE-QEPBAT,completed,True,success,unknown,,False,failed,unknown,unknown,success,0,,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746452-realenhance-job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe-1772069746325-5nxq9b92wkv.jpg,3,,unknown,unknown,False
